Pcp_File_Version=4
    3
    1  0.000000e+000  1.000000e+000  1.000000e-001
    2 -1.500000e+001  1.000000e+000  1.000000e+000
    3 -2.500000e+001  1.000000e+000  1.000000e+000
   51    0    0    1 x         h      Mat  Lay      Beta           Axz            Bxz            Dxz          Temp          Conc 
    1 -0.000000e+000 -1.000000e+002    1    1  1.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    2 -7.301401e-002 -1.000000e+002    1    1  9.970794e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    3 -1.644942e-001 -1.000000e+002    1    1  9.934202e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    4 -2.744406e-001 -1.000000e+002    1    1  9.890224e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    5 -4.028532e-001 -1.000000e+002    1    1  9.838859e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    6 -5.497319e-001 -1.000000e+002    1    1  9.780107e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    7 -7.150769e-001 -1.000000e+002    1    1  9.713969e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    8 -8.988881e-001 -1.000000e+002    1    1  9.640445e-001  1.000000e+000  1.000000e+000  1.000000e+000              
    9 -1.101165e+000 -1.000000e+002    1    1  9.559534e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   10 -1.321909e+000 -1.000000e+002    1    1  9.471236e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   11 -1.561119e+000 -1.000000e+002    1    1  9.375553e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   12 -1.818794e+000 -1.000000e+002    1    1  9.272482e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   13 -2.094937e+000 -1.000000e+002    1    1  9.162025e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   14 -2.389545e+000 -1.000000e+002    1    1  9.044182e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   15 -2.702619e+000 -1.000000e+002    1    1  8.918952e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   16 -3.034160e+000 -1.000000e+002    1    1  8.786336e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   17 -3.384167e+000 -1.000000e+002    1    1  8.646333e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   18 -3.752640e+000 -1.000000e+002    1    1  8.498944e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   19 -4.139579e+000 -1.000000e+002    1    1  8.344169e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   20 -4.544984e+000 -1.000000e+002    1    1  8.182006e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   21 -4.968856e+000 -1.000000e+002    1    1  8.012457e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   22 -5.411194e+000 -1.000000e+002    1    1  7.835522e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   23 -5.871998e+000 -1.000000e+002    1    1  7.651201e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   24 -6.351268e+000 -1.000000e+002    1    1  7.459493e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   25 -6.849004e+000 -1.000000e+002    1    1  7.260398e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   26 -7.365207e+000 -1.000000e+002    1    1  7.053917e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   27 -7.899876e+000 -1.000000e+002    1    1  6.840050e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   28 -8.453011e+000 -1.000000e+002    1    1  6.618796e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   29 -9.024611e+000 -1.000000e+002    1    1  6.390156e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   30 -9.614679e+000 -1.000000e+002    1    1  6.154128e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   31 -1.022321e+001 -1.000000e+002    1    1  5.910715e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   32 -1.085021e+001 -1.000000e+002    1    1  5.659915e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   33 -1.149568e+001 -1.000000e+002    1    1  5.401729e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   34 -1.215961e+001 -1.000000e+002    1    1  5.136156e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   35 -1.284201e+001 -1.000000e+002    1    1  4.863197e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   36 -1.354287e+001 -1.000000e+002    1    1  4.582851e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   37 -1.426220e+001 -1.000000e+002    1    1  4.295119e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   38 -1.500000e+001 -1.000000e+002    1    1  4.000000e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   39 -1.576923e+001 -1.000000e+002    1    1  3.692308e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   40 -1.653846e+001 -1.000000e+002    1    1  3.384615e-001  1.000000e+000  1.000000e+000  1.000000e+000              
   41 -1.730769e+001 -1.000000e+002    1    1  3.076923e-001  1.000000e+000  1.000000e+000  1.000000e+000              
